	filename	selection	IFNb	origin
ADAR1-KO_ZBP1-KO_IFNb-0h_input_2	ADAR1-KO_ZBP1-KO_IFNb-0h_input_2.quant.sf	input	0h	EV.2
ADAR1-KO_ZBP1-KO_IFNb-0h_input_3	ADAR1-KO_ZBP1-KO_IFNb-0h_input_3.quant.sf	input	0h	EV.5
ADAR1-KO_ZBP1-KO_IFNb-0h_input_4	ADAR1-KO_ZBP1-KO_IFNb-0h_input_4.quant.sf	input	0h	EV.6
ADAR1-KO_ZBP1-KO_IFNb-0h_IgG_1	ADAR1-KO_ZBP1-KO_IFNb-0h_IgG_1.quant.sf	IgG	0h	EV.1
ADAR1-KO_ZBP1-KO_IFNb-0h_IgG_2	ADAR1-KO_ZBP1-KO_IFNb-0h_IgG_2.quant.sf	IgG	0h	EV.5
ADAR1-KO_ZBP1-KO_IFNb-0h_Z22_1	ADAR1-KO_ZBP1-KO_IFNb-0h_Z22_1.quant.sf	Z22	0h	EV.2
ADAR1-KO_ZBP1-KO_IFNb-0h_Z22_2	ADAR1-KO_ZBP1-KO_IFNb-0h_Z22_2.quant.sf	Z22	0h	EV.6
ADAR1-KO_ZBP1-KO_IFNb-24h_input_1	ADAR1-KO_ZBP1-KO_IFNb-24h_input_1.quant.sf	input	24h	EV.3
ADAR1-KO_ZBP1-KO_IFNb-24h_input_2	ADAR1-KO_ZBP1-KO_IFNb-24h_input_2.quant.sf	input	24h	EV.4
ADAR1-KO_ZBP1-KO_IFNb-24h_input_3	ADAR1-KO_ZBP1-KO_IFNb-24h_input_3.quant.sf	input	24h	EV.7
ADAR1-KO_ZBP1-KO_IFNb-24h_input_4	ADAR1-KO_ZBP1-KO_IFNb-24h_input_4.quant.sf	input	24h	EV.8
ADAR1-KO_ZBP1-KO_IFNb-24h_IgG_1	ADAR1-KO_ZBP1-KO_IFNb-24h_IgG_1.quant.sf	IgG	24h	EV.3
ADAR1-KO_ZBP1-KO_IFNb-24h_IgG_2	ADAR1-KO_ZBP1-KO_IFNb-24h_IgG_2.quant.sf	IgG	24h	EV.7
ADAR1-KO_ZBP1-KO_IFNb-24h_Z22_1	ADAR1-KO_ZBP1-KO_IFNb-24h_Z22_1.quant.sf	Z22	24h	EV.4
ADAR1-KO_ZBP1-KO_IFNb-24h_Z22_2	ADAR1-KO_ZBP1-KO_IFNb-24h_Z22_2.quant.sf	Z22	24h	EV.8
ADAR1-KO_ZBP1-KO_IFNb-48h_input_1	ADAR1-KO_ZBP1-KO_IFNb-48h_input_1.quant.sf	input	48h	EV.9
ADAR1-KO_ZBP1-KO_IFNb-48h_input_2	ADAR1-KO_ZBP1-KO_IFNb-48h_input_2.quant.sf	input	48h	EV.10
ADAR1-KO_ZBP1-KO_IFNb-48h_input_3	ADAR1-KO_ZBP1-KO_IFNb-48h_input_3.quant.sf	input	48h	EV.11
ADAR1-KO_ZBP1-KO_IFNb-48h_input_4	ADAR1-KO_ZBP1-KO_IFNb-48h_input_4.quant.sf	input	48h	EV.12
ADAR1-KO_ZBP1-KO_IFNb-48h_IgG_1	ADAR1-KO_ZBP1-KO_IFNb-48h_IgG_1.quant.sf	IgG	48h	EV.9
ADAR1-KO_ZBP1-KO_IFNb-48h_IgG_2	ADAR1-KO_ZBP1-KO_IFNb-48h_IgG_2.quant.sf	IgG	48h	EV.11
ADAR1-KO_ZBP1-KO_IFNb-48h_Z22_1	ADAR1-KO_ZBP1-KO_IFNb-48h_Z22_1.quant.sf	Z22	48h	EV.10
ADAR1-KO_ZBP1-KO_IFNb-48h_Z22_2	ADAR1-KO_ZBP1-KO_IFNb-48h_Z22_2.quant.sf	Z22	48h	EV.12
